URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-cms-service-level,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.34",EMSCMSServiceLevelVS,EMS CMS Service Level VS,"CMS ambulance service level for billing (ePayment.50).","StructureDefinition/ext-ems-cms-service-level","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-cpr-discontinued-reason,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.35",EMSCPRDiscontinuedReasonVS,EMS Reason CPR Discontinued VS,"Reason CPR or resuscitation was discontinued (eArrest.16).","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-cpr-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.36",EMSCPRTypeVS,EMS CPR Type VS,"Type of CPR care provided prior to EMS arrival (eArrest.09).","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-crew-disposition,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.37",EMSCrewDispositionVS,EMS Crew Disposition,"NEMSIS eDisposition.29 - What the crew did during the response.","StructureDefinition/ext-ems-disposition-codes","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-crew-ppe,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.138",EMSCrewPPEVS,EMS CrewPPE VS,"Personal protective equipment used by the EMS crew member (eOther.03).","StructureDefinition/ext-ems-crew-safety","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-crew-role,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.38",EMSCrewRoleVS,EMS Crew Member Response Role,"NEMSIS eCrew.03 - The role of the crew member during the EMS response.","StructureDefinition/ems-practitionerrole","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-destination-reason,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.39",EMSDestinationReasonVS,EMS Reason for Choosing Destination,"NEMSIS eDisposition.20 - The reason the destination was chosen.","StructureDefinition/ext-ems-destination-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-destination-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.40",EMSDestinationTypeVS,EMS Type of Destination,"NEMSIS eDisposition.21 - The type of destination the patient was transported to.","StructureDefinition/ext-ems-destination-details,StructureDefinition/ems-encounter","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-director-compensation,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.149",EMSDirectorCompensationVS,EMS DirectorCompensation VS,"Whether the medical director is compensated (dContact.15).","StructureDefinition/ext-ems-medical-director","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-disaster-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.140",EMSDisasterTypeVS,EMS DisasterType VS,"Natural, suspected, intentional, or unintentional disaster associated with the event (eOther.07).","StructureDefinition/ext-ems-other-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-discharge-disposition,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.41",EMSDischargeDispositionVS,EMS Discharge Disposition VS,"UB-04 patient discharge status codes used for ED disposition (eOutcome.01) and hospital disposition (eOutcome.02).","StructureDefinition/ems-observation-outcome","hl7.terminology.r4"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-dispatch-delay,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.42",EMSDispatchDelayVS,EMS Type of Dispatch Delay,"NEMSIS eResponse.08 - Types of dispatch delay.","StructureDefinition/ext-ems-response-delays","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-dispatch-priority,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.43",EMSDispatchPriorityVS,EMS Dispatch Priority (Patient Acuity),"NEMSIS eDispatch.05 - The acuity level assigned at time of dispatch.","StructureDefinition/ext-ems-dispatch-info","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-dispatch-reason,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.44",EMSDispatchReasonVS,EMS Dispatch Reason (ValueSet),"NEMSIS eDispatch.01 - The dispatch complaint or reason for the EMS response. Extensible to allow agency-specific or SNOMED CT dispatch codes.","StructureDefinition/ext-ems-dispatch-reason","SCT"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-disposition-instructions,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.45",EMSDispositionInstructionsVS,EMS Disposition Instructions Provided,"NEMSIS eDisposition.26 - Instructions provided to the patient at disposition.","StructureDefinition/ext-ems-destination-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-ecg-method,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.46",EMSECGMethodVS,EMS ECG Interpretation Method,"NEMSIS eVitals.05 - How the ECG was interpreted.","StructureDefinition/ext-ems-ecg-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-ecg-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.47",EMSECGTypeVS,EMS ECG Type,"NEMSIS eVitals.04 - The number of leads used for ECG acquisition.","StructureDefinition/ext-ems-ecg-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-emd-performed,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.48",EMSEMDPerformedVS,EMS EMD Performed,"NEMSIS eDispatch.02 - Whether Emergency Medical Dispatch pre-arrival instructions were provided.","StructureDefinition/ext-ems-dispatch-info","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-emd-provided,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.151",EMSEMDProvidedVS,EMS EMDProvided VS,"Whether EMD is provided to the agency service area (dConfiguration.13).","StructureDefinition/ext-ems-agency-configuration","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-abd-location,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.49",EMSExamAbdominalFindingLocationVS,EMS Abdominal Assessment Finding Location,"NEMSIS eExam.10 - Location qualifier for abdominal assessment findings.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-abdomen,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.50",EMSExamAbdomenVS,EMS Abdomen Assessment,"NEMSIS eExam.11 - Physical findings on abdominal assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-back-location,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.51",EMSExamBackSpineLocationVS,EMS Back and Spine Assessment Finding Location,"NEMSIS eExam.13 - Location qualifier for back and spine assessment findings.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-back-spine,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.52",EMSExamBackSpineVS,EMS Back and Spine Assessment,"NEMSIS eExam.14 - Physical findings on back and spine assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-chest,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.53",EMSExamChestVS,EMS Chest Assessment,"NEMSIS eExam.25 - Physical findings on chest assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-chest-location,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.54",EMSExamChestLocationVS,EMS Chest Assessment Finding Location,"NEMSIS eExam.24 - Location qualifier for chest assessment findings.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-extremities,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.55",EMSExamExtremitiesVS,EMS Extremities Assessment,"NEMSIS eExam.16 - Physical findings on extremities assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-extremity-location,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.56",EMSExamExtremityLocationVS,EMS Extremity Assessment Finding Location,"NEMSIS eExam.15 - Location qualifier for extremity assessment findings.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-eye,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.57",EMSExamEyeVS,EMS Eye Assessment,"NEMSIS eExam.18 - Physical findings on eye assessment, including pupil size and reactivity.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-eye-location,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.58",EMSExamEyeLocationVS,EMS Eye Assessment Finding Location,"NEMSIS eExam.17 - Laterality qualifier for eye assessment findings.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-face,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.59",EMSExamFaceVS,EMS Face Assessment,"NEMSIS eExam.06 - Physical findings on face assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-head,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.60",EMSExamHeadVS,EMS Head Assessment,"NEMSIS eExam.05 - Physical findings on head assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-heart,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.61",EMSExamHeartVS,EMS Heart Assessment,"NEMSIS eExam.09 - Physical findings on heart/cardiac auscultation.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-length-tape,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.62",EMSExamLengthTapeMeasureVS,EMS Length Based Tape Measure (Broselow-Luten),"NEMSIS eExam.02 - Broselow-Luten color zone for length-based weight estimation.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-lung,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.63",EMSExamLungVS,EMS Lung Assessment,"NEMSIS eExam.23 - Auscultatory and respiratory findings on lung assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-lung-location,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.64",EMSExamLungLocationVS,EMS Lung Assessment Finding Location,"NEMSIS eExam.22 - Laterality qualifier for lung assessment findings.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-mental-status,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.65",EMSExamMentalStatusVS,EMS Mental Status Assessment,"NEMSIS eExam.19 - Mental status and cognitive assessment findings.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-neck,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.66",EMSExamNeckVS,EMS Neck Assessment,"NEMSIS eExam.07 - Physical findings on neck assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-neurological,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.67",EMSExamNeurologicalVS,EMS Neurological Assessment,"NEMSIS eExam.20 - Neurological assessment findings including strength, speech, coordination, and seizures.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-pelvic-gu,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.68",EMSExamPelvicGUVS,EMS Pelvis/Genitourinary Assessment,"NEMSIS eExam.12 - Physical findings on pelvic/genitourinary assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-skin,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.69",EMSExamSkinVS,EMS Skin Assessment,"NEMSIS eExam.04 - Physical findings on skin assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-stroke-resolved,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.70",EMSExamStrokeSymptomsResolvedVS,EMS Stroke/CVA Symptoms Resolved,"NEMSIS eExam.21 - Whether stroke/CVA symptoms resolved prior to or during EMS care.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-external-document-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.141",EMSExternalDocumentTypeVS,EMS ExternalDocumentType VS,"Type of external electronic document associated with the PCR (eOther.09).","StructureDefinition/ext-ems-document-type","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-external-report-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.71",EMSExternalReportTypeVS,EMS External Report Type VS,"Type of external report associated with the EMS event (eOutcome.03).",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-first-rhythm,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.72",EMSFirstRhythmVS,EMS First Monitored Rhythm VS,"First monitored cardiac rhythm by this EMS unit (eArrest.11). Subset for initial arrest rhythms. For full rhythm list including post-ROSC, see EMSCardiacRhythmVS.","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-gcs-qualifier,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.73",EMSGCSQualifierVS,EMS GCS Qualifier,"NEMSIS eVitals.22 - Qualifiers documenting conditions that affect GCS scoring validity.","StructureDefinition/ems-observation-gcs","Internal"
